iteration,storage,timestep,charge,discharge
97,battery,1,4.000000001041053,4.000000001040107
97,battery,2,3.9999999999919362,3.9999999999919402
98,battery,1,9.999999999999966,3.413297351472378e-14
98,battery,2,9.97981434382461e-13,9.999999999998911
99,battery,1,4.000000001043395,4.0000000010424035
99,battery,2,3.999999999986427,3.999999999986431
100,battery,1,9.999999999999856,1.4303700280706412e-13
100,battery,2,4.0512603381647e-12,9.999999999995584
101,battery,1,4.00000000104068,4.000000001039637
101,battery,2,3.9999999999798073,3.9999999999798126
102,battery,1,9.999999999999991,9.130539879696325e-15
102,battery,2,2.5506605895201454e-13,9.99999999999972
103,battery,1,4.000000001041639,4.000000001040534
103,battery,2,3.9999999999722977,3.999999999972305
104,battery,1,9.999999999999993,6.2580268585699106e-15
104,battery,2,1.4607385730396705e-13,9.999999999999842
105,battery,1,4.000000001046079,4.0000000010449135
105,battery,2,3.9999999999638916,3.9999999999638995
106,battery,1,9.999999999999993,6.221382577308771e-15
106,battery,2,4.274893723427997e-13,9.999999999999437
107,battery,1,4.000000002012254,4.000000002010891
107,battery,2,4.000000000035503,4.000000000033986
108,battery,1,9.999999999999998,1.7088999954462364e-15
108,battery,2,2.1011114269701073e-12,9.999999999997877
109,battery,1,4.000000001864257,4.000000001862986
109,battery,2,4.000000000041685,4.000000000040525
110,battery,1,9.999999999999998,1.5197631186671228e-15
110,battery,2,1.7496010788352136e-12,9.999999999998227
111,battery,1,4.000000001810391,4.000000001809127
111,battery,2,4.000000000043121,4.000000000042303
112,battery,1,9.999999999999998,1.831833175576956e-15
112,battery,2,1.8977727010949656e-12,9.99999999999806
113,battery,1,4.000000001735258,4.000000001734003
113,battery,2,4.000000000048835,4.000000000048274
114,battery,1,9.999999999999998,2.2753296301160074e-15
114,battery,2,2.1561146709463974e-12,9.999999999997776
115,battery,1,4.000000001635233,4.000000001634022
115,battery,2,4.000000000051859,4.000000000051484
116,battery,1,9.999999999999996,2.8091222443967918e-15
116,battery,2,2.4175975841174205e-12,9.999999999997492
117,battery,1,4.000000001612488,4.000000001611255
117,battery,2,4.0000000000560405,4.000000000055788
118,battery,1,9.999999999999996,3.3744122970139342e-15
118,battery,2,2.627740333876858e-12,9.99999999999727
119,battery,1,4.000000001606026,4.000000001604763
119,battery,2,4.000000000059694,4.000000000059538
120,battery,1,9.999999999999996,2.738801268701351e-15
120,battery,2,2.0331222689511305e-12,9.999999999997911
121,battery,1,4.000000001606502,4.000000001605209
121,battery,2,4.000000000057428,4.000000000057342
122,battery,1,9.999999999999998,2.491395055588799e-15
122,battery,2,1.7360300604054146e-12,9.999999999998233
123,battery,1,4.0000000016368364,4.0000000016354935
123,battery,2,4.000000000060315,4.000000000060275
124,battery,1,9.999999999999998,2.544846506902384e-15
124,battery,2,1.6314119596886834e-12,9.99999999999835
125,battery,1,4.000000001703844,4.0000000017024435
125,battery,2,4.000000000055305,4.000000000055298
126,battery,1,9.999999999999996,2.834824510583987e-15
126,battery,2,1.6417371243356582e-12,9.99999999999835
127,battery,1,4.00000000178653,4.000000001785058
127,battery,2,4.00000000004936,4.000000000049376
128,battery,1,9.999999999999996,3.3241682324654562e-15
128,battery,2,1.7213655596073827e-12,9.999999999998279
129,battery,1,4.000000001888348,4.0000000018867965
129,battery,2,4.000000000041798,4.00000000004183
130,battery,1,9.999999999999996,3.999584160771778e-15
130,battery,2,1.8440984726876474e-12,9.999999999998163
131,battery,1,4.000000002003238,4.000000002001595
131,battery,2,4.000000000031998,4.000000000032043
132,battery,1,9.999999999999995,4.86223836091177e-15
132,battery,2,1.991450971355254e-12,9.999999999998025
133,battery,1,4.000000001920544,4.000000001918986
133,battery,2,4.000000000022902,4.000000000022946
134,battery,1,9.999999999999995,6.047084900057329e-15
134,battery,2,2.1802894111685198e-12,9.999999999997844
135,battery,1,4.000000001729781,4.000000001728409
135,battery,2,4.00000000001642,4.000000000016458
136,battery,1,9.999999999999993,7.68814750294861e-15
136,battery,2,2.3933513201197306e-12,9.99999999999764
137,battery,1,4.000000001567901,4.000000001566671
137,battery,2,4.00000000001145,4.000000000011481
138,battery,1,9.99999999999998,1.9685256978319784e-14
138,battery,2,2.63606309452375e-12,9.999999999997192
139,battery,1,4.000000001422403,4.000000001421271
139,battery,2,4.000000000008416,4.000000000008441
140,battery,1,9.999999999999948,5.134618082483946e-14
140,battery,2,4.994165167705332e-12,9.999999999994692
141,battery,1,4.000000001325923,4.000000001324866
141,battery,2,4.000000000006151,4.000000000006171
142,battery,1,9.999999999999876,1.230673980625123e-13
142,battery,2,9.193829201842205e-12,9.999999999990246
143,battery,1,4.000000001244718,4.00000000124371
143,battery,2,4.000000000003363,4.000000000003379
144,battery,1,9.999999999999732,2.6812090841087626e-13
144,battery,2,1.6248016676055038e-11,9.999999999982787
145,battery,1,4.000000001169902,4.000000001168927
145,battery,2,4.000000000000468,4.0000000000004805
146,battery,1,10.0,5.245425382321816e-16
146,battery,2,2.7031075692316196e-14,9.999999999999972
147,battery,1,4.000000001114656,4.000000001113703
147,battery,2,3.9999999999982276,3.999999999998237
148,battery,1,9.999999999999998,9.416114873250599e-16
148,battery,2,4.237156379070472e-14,9.999999999999956
149,battery,1,4.000000001069083,4.000000001068142
149,battery,2,3.9999999999951243,3.9999999999951306
150,battery,1,9.999999999999995,5.047845218279142e-15
150,battery,2,1.5802498904080667e-13,9.999999999999828
151,battery,1,4.000000001037198,4.000000001036252
151,battery,2,3.999999999992019,3.9999999999920233
152,battery,1,9.999999999999966,3.294830168328468e-14
152,battery,2,9.641966154861539e-13,9.999999999998948
153,battery,1,4.000000001040397,4.000000001039407
153,battery,2,3.9999999999866516,3.9999999999866556
154,battery,1,9.999999999999861,1.3887136348566302e-13
