iteration,storage,timestep,charge,discharge
131,battery,1,9.999999999996241,3.664901762546395e-12
131,battery,2,4.9898932006406806e-12,9.999999999994602
132,battery,1,9.999999999996112,3.791479380946736e-12
132,battery,2,5.1716747709226796e-12,9.999999999994404
133,battery,1,9.999999999995975,3.923499490219344e-12
133,battery,2,5.3512514486573016e-12,9.99999999999421
134,battery,1,9.999999999995836,4.0574008927037425e-12
134,battery,2,5.536159638828356e-12,9.999999999994012
135,battery,1,9.999999999995696,4.1942968217639355e-12
135,battery,2,5.725491941857473e-12,9.999999999993808
136,battery,1,9.99999999999555,4.334691905267987e-12
136,battery,2,5.919664296721916e-12,9.9999999999936
137,battery,1,9.999999999995403,4.478347087988264e-12
137,battery,2,6.120682953503907e-12,9.999999999993383
138,battery,1,9.999999999995248,4.627503831517392e-12
138,battery,2,6.326175940141574e-12,9.999999999993163
139,battery,1,9.999999999995092,4.7794458366890195e-12
139,battery,2,6.543199318064493e-12,9.999999999992928
140,battery,1,9.999999999994925,4.9401436357334044e-12
140,battery,2,6.76291891733459e-12,9.999999999992692
141,battery,1,9.999999999999995,4.725992570852856e-15
141,battery,2,6.554244481554852e-15,9.999999999999993
142,battery,1,9.999999999999995,5.453566098819476e-15
142,battery,2,7.585324410744984e-15,9.999999999999991
143,battery,1,9.999999999999993,6.278209149678632e-15
143,battery,2,8.747444542663873e-15,9.999999999999991
144,battery,1,9.999999999999993,7.20471158652129e-15
144,battery,2,1.0064154710745153e-14,9.99999999999999
145,battery,1,9.999999999999991,8.246489724845724e-15
145,battery,2,1.1543234030699114e-14,9.999999999999988
146,battery,1,9.99999999999999,9.414288266786844e-15
146,battery,2,1.3199878117897288e-14,9.999999999999986
147,battery,1,9.99999999999999,1.071836262394708e-14
147,battery,2,1.505320617409977e-14,9.999999999999984
148,battery,1,9.999999999999988,1.2170395596700471e-14
148,battery,2,1.7123925718070396e-14,9.999999999999982
149,battery,1,9.999999999999986,1.3782673067987501e-14
149,battery,2,1.9426767864432878e-14,9.999999999999979
150,battery,1,9.999999999999984,1.5569817633137142e-14
150,battery,2,2.1975983624780786e-14,9.999999999999977
151,battery,1,9.999999999999982,1.754334267240667e-14
151,battery,2,2.4793671603285444e-14,9.999999999999973
152,battery,1,9.999999999999979,1.971504666326227e-14
152,battery,2,2.7903235725911412e-14,9.99999999999997
153,battery,1,9.999999999999977,2.209923767925024e-14
153,battery,2,3.132307909324598e-14,9.999999999999966
154,battery,1,9.999999999999973,2.471340207787502e-14
154,battery,2,3.506494757512335e-14,9.999999999999963
155,battery,1,9.999999999999972,2.7566214549179103e-14
155,battery,2,3.9161275599643275e-14,9.999999999999957
156,battery,1,9.999999999999968,3.0675322955332466e-14
156,battery,2,4.362381196225177e-14,9.999999999999954
157,battery,1,9.999999999999964,3.4053103738555075e-14
157,battery,2,4.847627438441857e-14,9.999999999999948
158,battery,1,9.999999999999961,3.7713014483013623e-14
158,battery,2,5.373918489501243e-14,9.999999999999943
159,battery,1,9.999999999999956,4.16703591198508e-14
159,battery,2,5.942734211702527e-14,9.999999999999936
160,battery,1,9.999999999999952,4.6029697574384725e-14
160,battery,2,6.53856189765361e-14,9.99999999999993
161,battery,1,9.999999999999947,5.0489634358860296e-14
161,battery,2,7.223419165856529e-14,9.999999999999924
162,battery,1,9.999999999999943,5.518120822944024e-14
162,battery,2,7.992134231712981e-14,9.999999999999915
163,battery,1,9.999999999999936,6.041365352098054e-14
163,battery,2,8.92347115859415e-14,9.999999999999904
164,battery,1,9.99999999999993,6.657861956604166e-14
164,battery,2,9.445898272796981e-14,9.999999999999899
165,battery,1,9.999999999999924,7.239837644286011e-14
165,battery,2,1.034046753301097e-13,9.99999999999989
166,battery,1,9.999999999999918,7.839927418347796e-14
166,battery,2,1.1325823761152808e-13,9.99999999999988
167,battery,1,9.999999999999911,8.477720561804873e-14
167,battery,2,1.2471929565754967e-13,9.999999999999867
168,battery,1,9.999999999999904,9.182774117424776e-14
168,battery,2,1.3881843639801682e-13,9.99999999999985
169,battery,1,9.999999999999895,9.9962488973727e-14
169,battery,2,1.436966529809509e-13,9.999999999999847
170,battery,1,9.999999999999886,1.0864568409122654e-13
170,battery,2,1.5357674428498247e-13,9.999999999999837
171,battery,1,9.999999999999877,1.16677179575673e-13
171,battery,2,1.660507810549719e-13,9.999999999999822
172,battery,1,9.99999999999987,1.2481340178719005e-13
172,battery,2,1.796484478129622e-13,9.999999999999808
173,battery,1,9.99999999999986,1.348647693610177e-13
173,battery,2,1.9083580822403566e-13,9.999999999999796
174,battery,1,9.99999999999985,1.4268049939737816e-13
174,battery,2,2.0766905112470908e-13,9.999999999999778
175,battery,1,9.999999999999838,1.5388949778528245e-13
175,battery,2,2.191748236765479e-13,9.999999999999766
176,battery,1,9.999999999999828,1.6429375558228132e-13
176,battery,2,2.3348525592515545e-13,9.999999999999751
177,battery,1,9.999999999999819,1.7395082233757678e-13
177,battery,2,2.504506249155791e-13,9.999999999999734
178,battery,1,9.999999999999806,1.850117543171647e-13
178,battery,2,2.658280131881395e-13,9.999999999999716
179,battery,1,9.999999999999796,1.9637104969234748e-13
179,battery,2,2.8171152727504687e-13,9.9999999999997
180,battery,1,9.999999999999783,2.0800969744131374e-13
180,battery,2,2.9806804428004874e-13,9.999999999999682
181,battery,1,9.999999999999773,2.1812175135616593e-13
181,battery,2,3.183342874641715e-13,9.99999999999966
182,battery,1,9.99999999999976,2.301634188072625e-13
182,battery,2,3.3567747795646205e-13,9.999999999999641
183,battery,1,9.999999999999748,2.4238056972503607e-13
183,battery,2,3.5340676275541055e-13,9.999999999999623
184,battery,1,9.999999999999732,2.5678556729716896e-13
184,battery,2,3.6746756783709134e-13,9.99999999999961
185,battery,1,9.99999999999972,2.686114366172008e-13
185,battery,2,3.8794096418804764e-13,9.999999999999586
186,battery,1,9.999999999999705,2.816070377756599e-13
186,battery,2,4.069942107427805e-13,9.999999999999567
187,battery,1,9.999999999999691,2.958819973183088e-13
187,battery,2,4.241303403838686e-13,9.999999999999549
188,battery,1,9.999999999999678,3.0797063558125957e-13
188,battery,2,4.4603437132681237e-13,9.999999999999524
189,battery,1,9.999999999999664,3.2127464323777523e-13
189,battery,2,4.659331553929066e-13,9.999999999999503
190,battery,1,9.999999999999648,3.3600311669328545e-13
190,battery,2,4.832973735372562e-13,9.999999999999485
191,battery,1,9.999999999999636,3.479423568118715e-13
191,battery,2,5.062248159116448e-13,9.99999999999946
192,battery,1,9.999999999999622,3.627920688547681e-13
192,battery,2,5.234007261587633e-13,9.999999999999442
193,battery,1,9.999999999999606,3.775890588999388e-13
193,battery,2,5.4047963971502e-13,9.999999999999424
194,battery,1,9.99999999999959,3.922992310252383e-13
194,battery,2,5.573542388212149e-13,9.999999999999407
195,battery,1,9.999999999999579,4.038790770856753e-13
195,battery,2,5.798050789293382e-13,9.999999999999382
196,battery,1,9.999999999999567,4.15773576180352e-13
196,battery,2,6.039792914947056e-13,9.999999999999355
197,battery,1,9.999999999999549,4.3263156375589164e-13
197,battery,2,6.229473884082613e-13,9.999999999999336
198,battery,1,9.999999999999533,4.479907638166894e-13
198,battery,2,6.459989682548919e-13,9.99999999999931
199,battery,1,9.999999999999515,4.637277748575133e-13
199,battery,2,6.696030401946378e-13,9.999999999999286
200,battery,1,9.999999999999494,4.839281760886841e-13
200,battery,2,6.858993432335456e-13,9.99999999999927
201,battery,1,9.99999999999948,4.987782063579919e-13
201,battery,2,7.144147273950933e-13,9.999999999999238
202,battery,1,9.999999999999464,5.138310597882801e-13
202,battery,2,7.444612451006453e-13,9.999999999999206
203,battery,1,9.999999999999444,5.317518662654973e-13
203,battery,2,7.71060717966359e-13,9.999999999999178
204,battery,1,9.999999999999426,5.490956241498179e-13
204,battery,2,8.012972081620745e-13,9.999999999999146
205,battery,1,9.999999999999403,5.713279586583097e-13
205,battery,2,8.247232065911201e-13,9.99999999999912
206,battery,1,9.999999999999359,6.131083750391104e-13
206,battery,2,8.776790579667096e-13,9.999999999999064
207,battery,1,9.99999999999926,7.088929899247761e-13
207,battery,2,1.020644109079684e-12,9.999999999998913
208,battery,1,9.99999999999914,8.230884271372782e-13
208,battery,2,1.170153848642213e-12,9.999999999998753
209,battery,1,9.999999999999012,9.447518286449369e-13
209,battery,2,1.3552761783479684e-12,9.999999999998556
210,battery,1,9.999999999998867,1.084786713939814e-12
210,battery,2,1.5568175067037629e-12,9.99999999999834
211,battery,1,9.999999999998705,1.2403997712490034e-12
211,battery,2,1.7865206526141306e-12,9.999999999998096
212,battery,1,9.999999999998519,1.417918906511505e-12
212,battery,2,2.0362011892538556e-12,9.999999999997831
213,battery,1,9.999999999998316,1.6125926536050377e-12
213,battery,2,2.322586802476894e-12,9.999999999997526
214,battery,1,9.999999999998087,1.830869653032817e-12
214,battery,2,2.637000334889632e-12,9.99999999999719
215,battery,1,9.999999999997836,2.0711032127237077e-12
215,battery,2,2.9899222796475873e-12,9.999999999996815
216,battery,1,9.999999999997556,2.3404161641236417e-12
216,battery,2,3.3712097015180517e-12,9.999999999996408
217,battery,1,9.999999999997248,2.6352873682101213e-12
217,battery,2,3.7962712106074235e-12,9.999999999995957
218,battery,1,9.99999999999691,2.959342979719752e-12
218,battery,2,4.263570015058538e-12,9.999999999995458
219,battery,1,9.999999999996541,3.3124473444623927e-12
219,battery,2,4.7808336332053805e-12,9.999999999994907
220,battery,1,9.999999999996131,3.704487635657911e-12
220,battery,2,5.330746212611551e-12,9.999999999994323
221,battery,1,9.999999999995694,4.123147454105944e-12
221,battery,2,5.951763249967344e-12,9.99999999999366
222,battery,1,9.999999999995211,4.586816085741824e-12
222,battery,2,6.604513077308736e-12,9.999999999992966
223,battery,1,9.999999999994698,5.077971412522153e-12
223,battery,2,7.341420587953998e-12,9.99999999999218
224,battery,1,9.999999999994136,5.615799127477619e-12
224,battery,2,8.12000764869859e-12,9.999999999991351
225,battery,1,9.999999999993532,6.195450915565312e-12
225,battery,2,8.95957685591723e-12,9.999999999990457
226,battery,1,9.999999999992879,6.821021784323891e-12
226,battery,2,9.855879252747012e-12,9.999999999989504
227,battery,1,9.999999999992184,7.486505816885507e-12
227,battery,2,1.083125953719646e-11,9.999999999988464
228,battery,1,9.999999999999991,8.211597022763856e-15
228,battery,2,1.1872280050200303e-14,9.999999999999988
229,battery,1,9.999999999999991,8.97155857055989e-15
229,battery,2,1.298650240036053e-14,9.999999999999986
230,battery,1,9.99999999999999,9.776788757943952e-15
230,battery,2,1.4181453411562927e-14,9.999999999999984
231,battery,1,9.99999999999999,1.06463131547438e-14
231,battery,2,1.5408380233862645e-14,9.999999999999984
232,battery,1,9.999999999999988,1.155718359111237e-14
232,battery,2,1.6733968027936493e-14,9.999999999999982
