iteration,dual,timestep,line,value
304,lambda,2,,-30.005861372746022
305,lambda,1,,-30.000625605736175
305,lambda,2,,-30.005766971357257
306,lambda,1,,-30.000616263110558
306,lambda,2,,-30.005674090372604
307,lambda,1,,-30.000607050786762
307,lambda,2,,-30.00558270530518
308,lambda,1,,-30.000597997615834
308,lambda,2,,-30.00549279206278
309,lambda,1,,-30.00058906511725
309,lambda,2,,-30.005404326926584
310,lambda,1,,-30.00058026873352
310,lambda,2,,-30.005317286585008
311,lambda,1,,-30.000571540165357
311,lambda,2,,-30.005231647614355
312,lambda,1,,-30.00056298841469
312,lambda,2,,-30.005147387960253
313,lambda,1,,-30.000554540890715
313,lambda,2,,-30.005064485532554
314,lambda,1,,-30.000546243612032
314,lambda,2,,-30.004982918517165
315,lambda,1,,-30.000538060949633
315,lambda,2,,-30.00490266535654
316,lambda,1,,-30.00053001138009
316,lambda,2,,-30.004823704810143
317,lambda,1,,-30.000522076704044
317,lambda,2,,-30.004746015986413
318,lambda,1,,-30.00051426396153
318,lambda,2,,-30.00466957835508
319,lambda,1,,-30.00050656392752
319,lambda,2,,-30.00459437174736
320,lambda,1,,-30.000498979375244
320,lambda,2,,-30.004520376341837
321,lambda,1,,-30.000491505790077
321,lambda,2,,-30.00444757264806
322,lambda,1,,-30.000484144111724
322,lambda,2,,-30.004375941491922
323,lambda,1,,-30.000476891890415
323,lambda,2,,-30.004305464004275
324,lambda,1,,-30.000469749059228
324,lambda,2,,-30.00423612161322
325,lambda,1,,-30.00046271353376
325,lambda,2,,-30.00416789604027
326,lambda,1,,-30.00045578433246
326,lambda,2,,-30.00410076929676
327,lambda,1,,-30.00044895938871
327,lambda,2,,-30.004034723675375
328,lambda,1,,-30.00044223594323
328,lambda,2,,-30.003969741767843
329,lambda,1,,-30.000435613253938
329,lambda,2,,-30.003905806442763
330,lambda,1,,-30.00042908963229
330,lambda,2,,-30.003842900844344
331,lambda,1,,-30.000422663773424
331,lambda,2,,-30.00378100838828
332,lambda,1,,-30.000416334267126
332,lambda,2,,-30.003720112757385
333,lambda,1,,-30.000410099741007
333,lambda,2,,-30.0036601978976
334,lambda,1,,-30.00040395850055
334,lambda,2,,-30.003601248012632
335,lambda,1,,-30.000397909551083
335,lambda,2,,-30.003543247562103
336,lambda,1,,-30.000391951133384
336,lambda,2,,-30.003486181255205
337,lambda,1,,-30.00038608202332
337,lambda,2,,-30.0034300340479
338,lambda,1,,-30.000380300753157
338,lambda,2,,-30.00337479113785
339,lambda,1,,-30.00037460600369
339,lambda,2,,-30.00332043796072
340,lambda,1,,-30.0003689966021
340,lambda,2,,-30.003266960187222
341,lambda,1,,-30.000363471048964
341,lambda,2,,-30.00321434371877
342,lambda,1,,-30.000358028319354
342,lambda,2,,-30.003162574684023
343,lambda,1,,-30.000352667051736
343,lambda,2,,-30.003111639434966
344,lambda,1,,-30.00034738610675
344,lambda,2,,-30.003061524542925
345,lambda,1,,-30.000342184282704
345,lambda,2,,-30.003012216795998
346,lambda,1,,-30.000337060321893
346,lambda,2,,-30.002963703194833
347,lambda,1,,-30.000332013199742
347,lambda,2,,-30.00291597094932
348,lambda,1,,-30.000327041605253
348,lambda,2,,-30.00286900747596
349,lambda,1,,-30.000322144581496
349,lambda,2,,-30.002822800393343
350,lambda,1,,-30.000317320546205
350,lambda,2,,-30.002777337519223
351,lambda,1,,-30.00031256908532
351,lambda,2,,-30.0027326068684
352,lambda,1,,-30.000307888743325
352,lambda,2,,-30.00268859664287
353,lambda,1,,-30.00030327855168
353,lambda,2,,-30.002645294864585
354,lambda,1,,-30.000298737368652
354,lambda,2,,-30.00260269015393
355,lambda,1,,-30.000294264135416
355,lambda,2,,-30.002560771412593
356,lambda,1,,-30.000289858017254
356,lambda,2,,-30.00251952776152
357,lambda,1,,-30.000285517919394
357,lambda,2,,-30.002478948455096
358,lambda,1,,-30.000281242850136
358,lambda,2,,-30.002439022858912
359,lambda,1,,-30.000277031669604
359,lambda,2,,-30.002399740451015
360,lambda,1,,-30.000272883608876
360,lambda,2,,-30.002361090840143
361,lambda,1,,-30.00026879750797
361,lambda,2,,-30.00232306378855
362,lambda,1,,-30.000264773318154
362,lambda,2,,-30.002285649236445
363,lambda,1,,-30.000260808585647
363,lambda,2,,-30.00224883727807
364,lambda,1,,-30.00025690360863
364,lambda,2,,-30.002212618194427
365,lambda,1,,-30.000253056546065
365,lambda,2,,-30.00217698243091
366,lambda,1,,-30.000249268264273
366,lambda,2,,-30.00214192059782
367,lambda,1,,-30.000245535440875
367,lambda,2,,-30.002107423460494
368,lambda,1,,-30.000241858859805
368,lambda,2,,-30.002073481929674
369,lambda,1,,-30.00023823688231
369,lambda,2,,-30.00204008706207
370,lambda,1,,-30.000234669248663
370,lambda,2,,-30.002007230053856
371,lambda,1,,-30.000231155443352
371,lambda,2,,-30.001974902241443
372,lambda,1,,-30.000227695008803
372,lambda,2,,-30.00194309509815
373,lambda,1,,-30.000224288530998
373,lambda,2,,-30.001911800236474
374,lambda,1,,-30.00022093607473
374,lambda,2,,-30.001881009398257
375,lambda,1,,-30.000217635985816
375,lambda,2,,-30.001850714469324
376,lambda,1,,-30.000214386035527
376,lambda,2,,-30.001820907463333
377,lambda,1,,-30.000211184796864
377,lambda,2,,-30.001791580522493
378,lambda,1,,-30.00020803073353
378,lambda,2,,-30.001762725915775
379,lambda,1,,-30.000204923045786
379,lambda,2,,-30.001734336035145
380,lambda,1,,-30.000201864204335
380,lambda,2,,-30.001706403398895
381,lambda,1,,-30.000198847754874
381,lambda,2,,-30.001678920638618
382,lambda,1,,-30.000195877588254
382,lambda,2,,-30.00165188050746
383,lambda,1,,-30.000192950957608
383,lambda,2,,-30.00162527587722
384,lambda,1,,-30.000190069684976
384,lambda,2,,-30.001599099734673
385,lambda,1,,-30.00018723239694
385,lambda,2,,-30.001573345179413
386,lambda,1,,-30.000184439262775
386,lambda,2,,-30.001548005422666
387,lambda,1,,-30.000181689365252
387,lambda,2,,-30.001523073784693
388,lambda,1,,-30.000178982195504
