iteration,generator,timestep,generation
341,pv,1,77.10218042912923
341,pv,2,79.99999999999999
342,pv,1,75.20761574870298
342,pv,2,79.99999999999868
343,pv,1,74.49532154411501
343,pv,2,79.99999999999837
344,pv,1,74.60076922520442
344,pv,2,79.99999999999078
345,pv,1,75.03564716990186
345,pv,2,79.99999999999991
346,pv,1,75.49357908754028
346,pv,2,79.99999999999999
347,pv,1,75.86952108766708
347,pv,2,79.99999999999775
348,pv,1,76.17495087547373
348,pv,2,79.99999999999942
349,pv,1,76.45510068705735
349,pv,2,79.99999999999953
350,pv,1,76.74391988495233
350,pv,2,79.99999999999957
351,pv,1,77.05260048124902
351,pv,2,79.99999999999959
352,pv,1,77.37536158185765
352,pv,2,79.9999999999996
353,pv,1,77.69905253536798
353,pv,2,79.99999999999962
354,pv,1,78.01005645303627
354,pv,2,79.9999999999996
355,pv,1,78.29731155207686
355,pv,2,79.99999999999959
356,pv,1,78.55270137502332
356,pv,2,79.99999999999957
357,pv,1,78.77039385122428
357,pv,2,79.99999999999955
358,pv,1,78.94613860525853
358,pv,2,79.99999999999949
359,pv,1,79.07688696542391
359,pv,2,79.99999999999935
360,pv,1,79.16070866872016
360,pv,2,79.99999999999888
361,pv,1,79.19685047844678
361,pv,2,79.99999999999835
362,pv,1,79.18580386620057
362,pv,2,79.99999999999791
363,pv,1,79.12931529843787
363,pv,2,79.9999999999977
364,pv,1,79.03032697128059
364,pv,2,79.99999999999781
365,pv,1,78.89286216460226
365,pv,2,79.9999999999982
366,pv,1,78.72187458146853
366,pv,2,79.99999999999869
367,pv,1,78.52307657762483
367,pv,2,79.99999999999916
368,pv,1,78.30275534300631
368,pv,2,79.99999999999936
369,pv,1,78.06758237436149
369,pv,2,79.99999999999939
370,pv,1,77.82442031120713
370,pv,2,79.9999999999994
371,pv,1,77.58013110918863
371,pv,2,79.99999999999942
372,pv,1,77.34139017996091
372,pv,2,79.99999999999945
373,pv,1,77.1145111406933
373,pv,2,79.99999999999945
374,pv,1,76.90528568673413
374,pv,2,79.99999999999946
375,pv,1,76.718842607329
375,pv,2,79.99999999999947
376,pv,1,76.55952926543213
376,pv,2,79.99999999999947
377,pv,1,76.4308180957071
377,pv,2,79.99999999999947
378,pv,1,76.33523988811537
378,pv,2,79.99999999999947
379,pv,1,76.27434474226271
